global_key,conf_key,year,publisher,title,link
icse,conf/icse/2013gtse,2013,IEEE Computer Society,"2nd SEMAT Workshop on a General Theory of Software Engineering, GTSE 2013, San Francisco, CA, USA, May 26, 2013",http://www.computer.org/csdl/proceedings/gtse/2013/6273/00/index.html
icse,conf/icse/2013live,2013,IEEE Computer Society,"Proceedings of the 1st International Workshop on Live Programming, LIVE 2013, San Francisco, California, USA, May 19, 2013",http://dl.acm.org/citation.cfm?id=2662726
icse,conf/icse/2013mise,2013,IEEE Computer Society,"Proceedings of the 5th International Workshop on Modeling in Software Engineering, MiSE 2013, San Francisco, California, USA, May 18-19, 2013",http://dl.acm.org/citation.cfm?id=2662737
icse,conf/icse/2013mtd,2013,IEEE Computer Society,"Proceedings of the 4th International Workshop on Managing Technical Debt, MTD 2013, San Francisco, CA, USA, May 20, 2013",http://dl.acm.org/citation.cfm?id=2663297
icse,conf/icse/2013pesos,2013,IEEE Computer Society,"5th International ICSE Workshop on Principles of Engineering Service-Oriented Systems, PESOS 2013, May 26, 2013, San Francisco, CA, USA",https://www.computer.org/csdl/proceedings/pesos/2013/9999/00/index.html
icse,conf/icse/2013please,2013,IEEE Computer Society,"4th International Workshop on Product LinE Approaches in Software Engineering, PLEASE 2013, San Francisco, CA, USA, May 20, 2013",https://www.computer.org/csdl/proceedings/please/2013/6449/00/index.html
icse,conf/icse/2013raise,2013,IEEE Computer Society,"2nd International Workshop on Realizing Artificial Intelligence Synergies in Software Engineering, RAISE 2013, San Francisco, CA, USA, May 25-26, 2013",http://www.computer.org/csdl/proceedings/raise/2013/6437/00/index.html
icse,conf/icse/2013releng,2013,IEEE Computer Society,"Proceedings of the 1st International Workshop on Release Engineering, RELENG 2013, San Francisco, California, USA, May 20, 2013",http://dl.acm.org/citation.cfm?id=2663360
icse,conf/icse/2013se4sg,2013,IEEE Computer Society,"2nd International Workshop on Software Engineering Challenges for the Smart Grid, SE4SG 2013, San Francisco, CA, USA, May 18, 2013",http://www.computer.org/csdl/proceedings/se4sg/2013/6280/00/index.html
icse,conf/icse/2013seams,2013,IEEE Computer Society,"Proceedings of the 8th International Symposium on Software Engineering for Adaptive and Self-Managing Systems, SEAMS 2013, San Francisco, CA, USA, May 20-21, 2013",http://dl.acm.org/citation.cfm?id=2663546
icse,conf/icse/2013secse,2013,IEEE Computer Society,"Proceedings of the 5th International Workshop on Software Engineering for Computational Science and Engineering, SE-CSE 2013, San Francisco, California, USA, May 18, 2013",http://dl.acm.org/citation.cfm?id=2663370
icse,conf/icse/2013sehc,2013,IEEE Computer Society,"Proceedings of the 5th International Workshop on Software Engineering in Health Care, SEHC 2013, San Francisco, California, USA, May 20-21, 2013",http://dl.acm.org/citation.cfm?id=2663575
icse,conf/icse/2013tefse,2013,IEEE Computer Society,"7th International Workshop on Traceability in Emerging Forms of Software Engineering, TEFSE 2013, 19 May, 2013, San Francisco, CA, USA",https://www.computer.org/csdl/proceedings/tefse/2013/9999/00/index.html
icse,conf/icse/2013topi,2013,IEEE Computer Society,"3rd International Workshop on Developing Tools as Plug-ins, TOPI 2013, San Francisco, CA, USA, MAy 21, 2013",http://www.computer.org/csdl/proceedings/topi/2013/6288/00/index.html
