global_key,year,publisher,unique_global_key,count
icdt,2015,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,,
icdt,2016,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,,
icml,2000,Morgan Kaufmann,,
icml,2001,Morgan Kaufmann,,
icml,2002,Morgan Kaufmann,,
icml,2003,AAAI Press,,
icml,2004,ACM,,
icml,2005,ACM,,
icml,2006,ACM,,
icml,2007,Springer,,
icml,2007,ACM,,
icml,2008,ACM,,
icml,2009,ACM,,
icml,2010,Omnipress,,
icml,2011,Omnipress,,
icml,2012,icml.cc / Omnipress,,
icml,2013,JMLR.org,,
icml,2014,JMLR.org,,
icml,2015,JMLR.org,,
icml,2015,JMLR.org,,
icml,2015,Springer,,
icml,2015,CEUR-WS.org,,
icml,2016,JMLR.org,,
icml,2003,\N,,
icse,2000,ACM,,
icse,2000,ACM,,
icse,2001,IEEE Computer Society,,
icse,2002,ACM,,
icse,2003,Springer,,
icse,2003,IEEE Computer Society,,
icse,2003,IFIP,,
icse,2003,\N,,
icse,2004,Springer,,
icse,2004,IEEE Computer Society,,
icse,2005,Springer,,
icse,2005,ACM,,
icse,2006,Springer,,
icse,2005,ACM,,
icse,2005,ACM,,
icse,2006,ACM,,
icse,2006,ACM,,
icse,2006,ACM,,
icse,2006,ACM,,
icse,2007,Springer,,
icse,2006,ACM,,
icse,2007,IEEE Computer Society,,
icse,2007,IEEE Computer Society,,
icse,2007,IEEE Computer Society,,
icse,2007,IEEE Computer Society,,
icse,2007,IEEE Computer Society,,
icse,2007,IEEE Computer Society,,
icse,2007,IEEE Computer Society,,
icse,2007,IEEE Computer Society,,
icse,2008,Springer,,
icse,2007,IEEE Computer Society,,
icse,2008,ACM,,
icse,2008,ACM,,
icse,2008,ACM,,
icse,2008,ACM,,
icse,2008,ACM,,
icse,2008,ACM,,
icse,2008,ACM,,
icse,2008,ACM,,
icse,2009,Springer,,
icse,2008,ACM,,
icse,2009,IEEE,,
icse,2009,IEEE Computer Society,,
icse,2009,IEEE,,
icse,2009,IEEE Computer Society,,
icse,2009,IEEE Computer Society,,
icse,2009,IEEE Computer Society,,
icse,2009,IEEE Computer Society,,
